Investor,Avg_Investment,Total_Investment,Num_Deals,Unique_Startups,Avg_Year,Cluster
MDI Ventures & Telkom Indonesia,34.31,34.31,1,1,2018.0,0
Ashish Goenka,26.805,53.61,2,2,2015.0,4
Avtar Monga,4.02,8.04,2,2,2016.5,4
chief operating office at IDFC Bank,3.75,3.75,1,1,2018.0,0
Aditya Malik & Others,3.75,3.75,1,1,2018.0,0
ResponsAbility,81.48,244.44,3,3,2017.0,0
Raghunandan G,16.723750000000003,133.79000000000002,8,8,2016.5,4
and Ramakant Sharma,42.88,42.88,1,1,2018.0,0
Base of Pyramid Asia (BOPA) Pte Ltd,21.44,21.44,1,1,2018.0,0
Rishi Vasudev,3.13,6.26,2,2,2016.5,4
Ritesh Vohra,1.54,1.54,1,1,2018.0,0
Praveer Kumar,1.54,1.54,1,1,2018.0,0
Prashant Gupta and Others,1.54,1.54,1,1,2018.0,0
Siddharth Agarwal,0.75,1.5,2,2,2017.0,0
Amit Singal,1.5,1.5,1,1,2018.0,0
100 Co-founders Lab and others.,1.5,1.5,1,1,2018.0,0
KCK Global & Others,426.28,426.28,1,1,2018.0,0
Omidyar Network & Others,12.87,12.87,1,1,2018.0,0
TPG Growth,686.1600000000001,1372.3200000000002,2,2,2017.0,0
The Rise Fund & Others,857.7,857.7,1,1,2018.0,0
Rahul Khanna,1.26,3.78,3,3,2016.0,4
Rajeev Arora and Ram Ramsundar.,2.4,2.4,1,1,2018.0,0
Metaform Ventures,3.74,3.74,1,1,2018.0,0
Hemant Luthra,3.74,3.74,1,1,2018.0,0
Micro venture capital firm GEMS Partners and Others,3.74,3.74,1,1,2018.0,0
Gray Matters,16.4675,65.87,4,4,2016.5,4
Fairfax,192.98,385.96,2,1,2017.5,0
Allcargo Logistics,145.81,145.81,1,1,2018.0,0
Navneet Education and Mahavir Agency,145.81,145.81,1,1,2018.0,0
WEH Ventures and Sprout Ventures,10.72,10.72,1,1,2018.0,0
Ventureast and Exfinity,21.44,21.44,1,1,2018.0,0
Bharat Innovation,9.43,9.43,1,1,2018.0,0
IDFC-Parampara Capital,9.43,9.43,1,1,2018.0,0
Arthavida Ventures,9.43,9.43,1,1,2018.0,0
Jitendra Gupta & Others,5.145,10.29,2,2,2016.5,4
Lindwall Family Investments LLC (LFI),4.29,4.29,1,1,2018.0,0
Amazon Alexa Fund & Dentsu Ventures,94.35,94.35,1,1,2018.0,0
Kantilal Patel,42.88,42.88,1,1,2018.0,0
Puneet Dalmia & Others,85.77,85.77,1,1,2018.0,0
Aspire Logistics LLC,1.07,1.07,1,1,2018.0,0
Bhairavi Jani,0.0,0.0,1,1,2018.0,0
Alok Divatia,0.0,0.0,1,1,2018.0,0
Namrata Kaul,0.0,0.0,1,1,2018.0,0
Sohail Hashemi,0.0,0.0,1,1,2018.0,0
Aijaz Saleem,0.0,0.0,1,1,2018.0,0
Anil Advani,0.0,0.0,1,1,2018.0,0
Pramod Jain,0.0,0.0,1,1,2018.0,0
Amrendra Reddy and Manish Satnaliwala.,0.0,0.0,1,1,2018.0,0
