Investor,Avg_Investment,Total_Investment,Num_Deals,Unique_Startups,Avg_Year,Cluster
Batlivala & Karani Securities,4.1466666666666665,12.44,3,3,2016.3333333333333,4
Saama Capital and DSG Consumer Partners,38.6,38.6,1,1,2017.0,0
True North,660.43,660.43,1,1,2017.0,0
Snehal Mantri,2.14,2.14,1,1,2017.0,0
Anshu Bahadur,2.14,2.14,1,1,2017.0,0
Zephyr Peacock,42.885,85.77,2,1,2017.0,0
Experian,60.04,60.04,1,1,2017.0,0
Nexus,119.56636363636365,3945.69,33,29,2016.242424242424,1
Whiteboard Capital,12.865,25.73,2,2,2017.0,0
Sarbvir Singh,12.865,25.73,2,2,2016.5,4
Abhishek Bhatewara,0.0,0.0,1,1,2017.0,0
Paras Arora,0.0,0.0,1,1,2017.0,0
500 Startups,6.320909090909091,139.06,22,21,2015.6818181818185,1
Kotak Mahindra Bank,32.59,32.59,1,1,2017.0,0
Sandesh Kirkire,0.0,0.0,1,1,2017.0,0
Yogesh Chaudhary,0.0,0.0,3,3,2016.3333333333333,4
Mahindra & Mahindra and Infuse Ventures,17.15,17.15,1,1,2017.0,0
IL&FS,103.20666666666666,309.62,3,3,2017.3333333333333,0
Rosy Blue Securities,274.46,274.46,1,1,2017.0,0
YourNest Angel Fund,8.973076923076922,116.65,13,12,2015.923076923077,1
Mayur Abhaya,24.445,48.89,2,1,2017.5,0
Anand Mahindra,1.374,6.87,5,5,2016.0,4
Bertelsmann India,268.41700000000003,2684.17,10,6,2016.2,1
HIS Co. Ltd,85.77,85.77,1,1,2017.0,0
Greenoaks Capital,1500.975,6003.9,4,2,2016.25,1
Hero Enterprise,2144.25,2144.25,1,1,2017.0,0
Triodos Investment Management,59.18,59.18,1,1,2017.0,0
Sachin Tendulkar,26.59,53.18,2,2,2016.5,4
P.V SIndhu,53.18,53.18,1,1,2017.0,0
Pullela Gopichand,53.18,53.18,1,1,2017.0,0
Raman Roy,0.0,0.0,3,2,2016.3333333333333,4
Arvind Uppal,0.0,0.0,1,1,2017.0,0
Sonu Bhasin,0.0,0.0,1,1,2017.0,0
G Ravishankar,0.0,0.0,1,1,2017.0,0
Ashish Toshniwal,0.0,0.0,1,1,2017.0,0
Ajeet Khurana,1.5975,6.390000000000001,4,4,2015.5,4
Keiretsu Forum & Others,6.69,6.69,1,1,2017.0,0
Rajit Nanda,0.0,0.0,1,1,2017.0,0
Smarak Bhuyan,0.0,0.0,1,1,2017.0,0
Sashwat Brahma,0.0,0.0,1,1,2017.0,0
Rising Stars,0.0,0.0,1,1,2017.0,0
Manish Amin,0.0,0.0,1,1,2017.0,0
Pallav Pandey,0.0,0.0,1,1,2017.0,0
Chavi Jafa,0.0,0.0,1,1,2017.0,0
Shamik Sharma,10.72,21.44,2,2,2016.0,4
Aprameya Radhakrishna,2.474285714285714,34.64,14,12,2015.857142857143,1
AdvantEdge,8.578,42.89,5,5,2016.0,4
Sandway Investment Ltd,0.0,0.0,1,1,2017.0,0
Pearl Brook Holdings,0.0,0.0,1,1,2017.0,0
Silo Holdings and Al Nour,0.0,0.0,1,1,2017.0,0
LG Chandrasekhar,8.58,17.16,2,2,2017.0,0
Zomato Media Pvt. Ltd,0.0,0.0,1,1,2017.0,0
Mehul Shah,1.29,1.29,1,1,2017.0,0
Jamil Khatri,0.0,0.0,1,1,2017.0,0
Ravi Iyer,0.0,0.0,1,1,2017.0,0
Raghav Bahl,8.3625,33.45,4,3,2015.75,4
Startup Oasis,0.0,0.0,1,1,2017.0,0
Amiya Pathak,8.58,8.58,1,1,2017.0,0
Rajesh Yohanan and Rahul Garg,8.58,8.58,1,1,2017.0,0
Rivergate Capital,0.0,0.0,1,1,2017.0,0
Kashyap Deorah,4.86,14.58,3,3,2016.0,4
Anand Sankeshwar,4.13,8.26,2,2,2016.5,4
Sadashiva NT,0.0,0.0,1,1,2017.0,0
Arjun Mehta,0.0,0.0,1,1,2017.0,0
Anindya Ghose,0.0,0.0,1,1,2017.0,0
Anupam Mittal,5.207058823529413,88.52000000000001,17,17,2015.6470588235293,1
Hetal Sonpal,4.29,4.29,1,1,2017.0,0
Narottam Thudi,7.29,7.29,1,1,2017.0,0
Shireesh Palle,7.29,7.29,1,1,2017.0,0
Cismat Cargo Services Pvt. Ltd.,2.57,2.57,1,1,2017.0,0
Rajasthan Angel Investor Network,0.64,1.28,2,2,2016.5,4
Anuj Puri,0.0,0.0,2,2,2016.5,4
Siddharth Kothari,0.0,0.0,1,1,2017.0,0
R. Jayakumar,0.0,0.0,1,1,2017.0,0
Vaibhav Vohra,0.0,0.0,1,1,2017.0,0
Aditya Vazirani,0.0,0.0,1,1,2017.0,0
AVN Business Solutions,0.0,0.0,1,1,2017.0,0
Rahul Dev Kumar,1.89,1.89,1,1,2017.0,0
Rajesh Mahajan,1.89,1.89,1,1,2017.0,0
Venugopal Dhoot,26.59,26.59,1,1,2017.0,0
Ajay Bhatia,26.59,26.59,1,1,2017.0,0
Ganpat Singhvi,26.59,26.59,1,1,2017.0,0
Mandhian family & Others,26.59,26.59,1,1,2017.0,0
Tom Varkey,0.0,0.0,1,1,2017.0,0
Sanjay Shenoy,0.0,0.0,1,1,2017.0,0
Mridul Upreti,0.0,0.0,1,1,2017.0,0
Nazara Games,0.0,0.0,1,1,2017.0,0
Fullerton India Credit Company Ltd,2.68,2.68,1,1,2017.0,0
Krishnakumar Natarajan,3.3,3.3,1,1,2017.0,0
Ravi Bhardwaj,3.3,3.3,1,1,2017.0,0
Green Visor Capital LP II,0.0,0.0,1,1,2017.0,0
IA Venture Strategies Fund II LP,0.0,0.0,1,1,2017.0,0
Russell M Byrne,0.0,0.0,1,1,2017.0,0
The Oliver R. Grace,0.0,0.0,1,1,2017.0,0
Jr. Millennium Trust,0.0,0.0,1,1,2017.0,0
SF Capital Investments LP,0.0,0.0,1,1,2017.0,0
Social Alpha,0.0,0.0,2,2,2017.0,0
Kshitij Arora,0.0,0.0,1,1,2017.0,0
Blume Ventures. Lenovo Capital and Incubator Group (LCIG),0.0,0.0,1,1,2017.0,0
Riverwood Capital,686.16,686.16,1,1,2017.0,0
IIT Ropar,0.0,0.0,1,1,2017.0,0
Imanpreet Singh Arora,0.0,0.0,1,1,2017.0,0
Sidharth Rozario,0.0,0.0,1,1,2017.0,0
Saurabh Abichandani,0.0,0.0,1,1,2017.0,0
Haresh Chawla,18.2275,72.91,4,4,2015.75,4
Raksul,6.43,6.43,1,1,2017.0,0
PBS Srinivas,1.07,1.07,1,1,2017.0,0
Vinod Martin,0.7866666666666666,2.36,3,1,2017.0,0
Qualgro.,60.04,60.04,1,1,2017.0,0
UC-RNT fund,240.155,480.31,2,2,2017.0,0
growx ventures,7.758181818181819,85.34,11,11,2015.909090909091,1
Small Industries Development Bank of India (SIDBI),0.0,0.0,1,1,2017.0,0
Ward Ferry Management and Karst Peak Capital,291.62,291.62,1,1,2017.0,0
Sofina s.a.,257.31,257.31,1,1,2017.0,0
Lakshmi Narayanan,257.31,257.31,1,1,2017.0,0
Reliance Corporate Advisory Services Ltd,8.58,8.58,1,1,2017.0,0
JLL,13.295,26.59,2,2,2017.0,0
Rocketship,53.605,107.21,2,2,2017.0,0
Emergent Ventures India,0.0,0.0,1,1,2017.0,0
Pallav Nadhani,0.858,4.29,5,5,2016.0,4
Sirion Labs,0.0,0.0,1,1,2017.0,0
Sreeram Iyer,0.0,0.0,1,1,2017.0,0
Suvo Sarkar,0.0,0.0,1,1,2017.0,0
Anita Gupta,0.0,0.0,1,1,2017.0,0
Mitsui & Co.,235.865,471.73,2,2,2016.0,4
Dunamis Ventures Pte Ltd,13.94,27.880000000000003,2,2,2016.5,4
Sourav Ganguly,3.98,3.98,1,1,2017.0,0
Ankit Aditya,3.98,3.98,1,1,2017.0,0
Moksh Sports Ventures,3.98,3.98,1,1,2017.0,0
Apurva Salarpuria,0.0,0.0,1,1,2017.0,0
Sidharth Pansari,2.36,4.72,2,2,2016.5,4
SBI-FMO Fund,158.67,158.67,1,1,2017.0,0
Abhishek Gupta,5.145,10.29,2,2,2016.0,4
Brigade Innovations LLP,4.63,4.63,1,1,2017.0,0
TV Mohandas Pai,4.090714285714285,57.27,14,13,2015.7857142857144,1
Suhail Rahman,4.63,4.63,1,1,2017.0,0
Bobby Reddy,4.63,4.63,1,1,2017.0,0
M George Oommen,4.63,4.63,1,1,2017.0,0
Blacksoil Capital Pvt. Ltd,16.296666666666667,48.89,3,3,2016.6666666666667,0
Grey Orange,12.864999999999998,25.73,2,2,2016.5,4
Rajesh Ramaiah,17.15,17.15,1,1,2017.0,0
Anshuman Das,17.15,17.15,1,1,2017.0,0
IDG Ventures India Advisors,34.31,34.31,1,1,2017.0,0
Uber Technologies Inc,0.0,0.0,1,1,2017.0,0
Xelpmoc,0.0,0.0,2,2,2016.5,4
Renaud Laplanche,85.77,85.77,1,1,2017.0,0
Francesco Cara,0.0,0.0,1,1,2017.0,0
ABI-Showatech (India) Ltd,5.15,5.15,1,1,2017.0,0
Subramani Somasundaram,1.72,1.72,1,1,2017.0,0
Sundeep Sahni,1.72,1.72,1,1,2017.0,0
Mayank Mittal & Others,1.72,1.72,1,1,2017.0,0
Harmeet Bajaj,0.0,0.0,1,1,2017.0,0
Pameela P,0.0,0.0,1,1,2017.0,0
Aditya Singh,0.0,0.0,1,1,2017.0,0
Nspira,0.0,0.0,1,1,2017.0,0
Yuvraj Singh,0.0,0.0,2,2,2016.0,4
Amen Dhyllon,0.0,0.0,1,1,2017.0,0
Grace Grace Techno Ventures LLP,0.0,0.0,1,1,2017.0,0
TVS Motor Company,2.01,2.01,1,1,2017.0,0
Emerging India,428.85,428.85,1,1,2017.0,0
lockchain ecosystem Global Advisors,0.0,0.0,1,1,2017.0,0
Horseferry,0.0,0.0,1,1,2017.0,0
Sandeep Tandon,8.899375000000001,142.39,16,16,2016.0,1
Arun Patodia,0.0,0.0,1,1,2017.0,0
Bharat Kedia,0.0,0.0,1,1,2017.0,0
Farhan Naqvi,8.58,8.58,1,1,2017.0,0
SBI (Stand Up India Scheme),0.0,0.0,1,1,2017.0,0
Bodhtree Consulting Limited,1.99,1.99,1,1,2017.0,0
Mohan Alexander,1.5,3.0,2,1,2016.0,4
Vikrant Varshney,3.0,3.0,1,1,2017.0,0
Pawan Borle,1.285,2.57,2,2,2016.0,4
Vineet Varma,2.57,2.57,1,1,2017.0,0
Nick Haulkoury,2.57,2.57,1,1,2017.0,0
Abhai S. Rao,2.57,2.57,1,1,2017.0,0
Dr Ramesh Ayyala,2.14,2.14,1,1,2017.0,0
Satya Muthyala,2.14,2.14,1,1,2017.0,0
Cao Yibin,0.0,0.0,1,1,2017.0,0
Huang Wei,0.0,0.0,1,1,2017.0,0
Suresh Shankar,4.29,4.29,1,1,2017.0,0
Vivek Bhargava,2.14,8.56,4,4,2016.25,4
Founders Fund,0.0,0.0,1,1,2017.0,0
Cross Border Angels & Experts,0.0,0.0,2,2,2017.0,0
YouWeCan Ventures,1.270909090909091,13.98,11,10,2015.5454545454545,1
3one4 Capital Advisors LLP,34.31,34.31,1,1,2017.0,0
Startupxseed Ventures LLP,34.31,34.31,1,1,2017.0,0
91maker.com,2.57,2.57,1,1,2017.0,0
IIFL Seed Ventures,42.455,84.91,2,2,2016.5,4
The Grover Trust,38.6,38.6,1,1,2017.0,0
iBhubs,1.84,1.84,1,1,2017.0,0
alcon Edge Capital,1579.026,7895.13,5,4,2015.8,1
General Catalyst,30.445,60.89,2,2,2016.5,4
Founder Collective,39.45,39.45,1,1,2017.0,0
Bharat Vijay,4.29,4.29,1,1,2017.0,0
Krish Seshadri,4.29,4.29,1,1,2017.0,0
Amar Arsikere,4.29,4.29,1,1,2017.0,0
IFMR,25.903333333333336,155.42000000000002,6,6,2017.1666666666667,0
Kishore Ganji,42.88,42.88,1,1,2017.0,0
Venkat Vallabhaneni,42.88,42.88,1,1,2017.0,0
Rajeev Menon,42.88,42.88,1,1,2017.0,0
Seedfund,39.025000000000006,156.10000000000002,4,4,2015.5,4
Snow Leopard Ventures,42.88,42.88,1,1,2017.0,0
Gujarat Venture Finance Ltd,0.0,0.0,1,1,2017.0,0
Anthill Scale Ventures,2.67,2.67,1,1,2017.0,0
Inc95 Consulting,2.67,2.67,1,1,2017.0,0
Aparup Sengupta,0.0,0.0,1,1,2017.0,0
Devendra Reddy,0.0,0.0,1,1,2017.0,0
Udayan Goyal,25.73,25.73,1,1,2017.0,0
SAP.iO,17.15,17.15,1,1,2017.0,0
Abhinav Bindra,8.58,8.58,1,1,2017.0,0
Gaurav Marya,8.58,8.58,1,1,2017.0,0
Zeta,0.0,0.0,1,1,2017.0,0
Beenos,69.1525,553.22,8,8,2015.875,4
Hinduja family,0.0,0.0,1,1,2017.0,0
Rainbow Digital Services Pvt. Ltd,6.0,6.0,1,1,2017.0,0
ILearnFinance Academy Pvt. Ltd.,6.0,6.0,1,1,2017.0,0
Gokul Rajaram,29.55,59.1,2,2,2017.0,0
Aditya Agarwal,13.725,27.45,2,2,2016.5,4
Satoshi Studios,0.43,0.43,1,1,2017.0,0
Vellayan Subbiah,0.0,0.0,2,2,2016.0,4
Jonathan Boutelle,0.0,0.0,1,1,2017.0,0
Salil Donde,0.0,0.0,1,1,2017.0,0
Govind Rajan & Others,0.0,0.0,1,1,2017.0,0
Varsha Rao,0.0,0.0,1,1,2017.0,0
Surojit Chatterjee,0.0,0.0,1,1,2017.0,0
Chirag Nikunj Sheth & Others,0.0,0.0,1,1,2017.0,0
Aakrit Vaish,0.0,0.0,1,1,2017.0,0
Swapan Rajdev,0.0,0.0,1,1,2017.0,0
Sushill Jiwarajka,0.0,0.0,1,1,2017.0,0
Infibeam,98.06,196.12,2,2,2017.0,0
CCavenue,4.0,4.0,1,1,2017.0,0
IdeaSpring Capital,4.720000000000001,18.880000000000003,4,4,2017.0,0
Innovations East,25.73,25.73,1,1,2017.0,0
Ayesha Takia Azmi,8.58,8.58,1,1,2017.0,0
Abu Farhan Azmi,8.58,8.58,1,1,2017.0,0
Dheeraj Pandey,8.58,8.58,1,1,2017.0,0
Akash Garg,8.58,8.58,1,1,2017.0,0
Gokaldas Exports Ltd,0.0,0.0,1,1,2017.0,0
Uday Kotak,5.79,11.58,2,2,2016.5,4
Kiran Mazumdar-Shaw,5.145,10.29,2,2,2016.5,4
Rajiv C Mody,0.0,0.0,1,1,2017.0,0
Lahiri Musics family office,0.0,0.0,1,1,2017.0,0
PV Sahad,0.0,0.0,1,1,2017.0,0
Rahul Gupta,0.0,0.0,1,1,2017.0,0
Great Oaks Ventures,12.87,12.87,1,1,2017.0,0
Rohto Pharmaceutical,42.88,42.88,1,1,2017.0,0
Mathew Cyriac,30.660000000000004,61.32000000000001,2,2,2017.0,0
Florintree Advisors,32.59,32.59,1,1,2017.0,0
Vispi Daver,31.65,31.65,1,1,2017.0,0
Keyur Joshi,4.29,4.29,1,1,2017.0,0
Pavan Bakeri,4.29,4.29,1,1,2017.0,0
Koen Bouwers,4.29,4.29,1,1,2017.0,0
Pablo van den Bosch & Others,4.29,4.29,1,1,2017.0,0
Deepak Kulkarni,0.0,0.0,1,1,2017.0,0
Herb Madan,0.0,0.0,1,1,2017.0,0
Ishwar Singh,0.0,0.0,1,1,2017.0,0
Farhaan Shabbir,0.0,0.0,1,1,2017.0,0
Labruyere Eberl,0.0,0.0,1,1,2017.0,0
Mistletoe,34.305,68.61,2,2,2016.5,4
Philippe Bouchet,0.86,0.86,1,1,2017.0,0
Sushil Kumar,0.0,0.0,1,1,2017.0,0
Sandeep Singh,0.0,0.0,1,1,2017.0,0
Ivycap Ventures Advisors,34.31,34.31,1,1,2017.0,0
Singularity Ventures and Ravi Dhariwal,34.31,34.31,1,1,2017.0,0
Nishant Rao,38.6,38.6,1,1,2017.0,0
Dileep Nath,38.6,38.6,1,1,2017.0,0
DHI Group Inc,38.6,38.6,1,1,2017.0,0
BizReach,38.6,38.6,1,1,2017.0,0
R Ramaraj,0.0,0.0,2,2,2016.0,4
Urrshila Kerkar,66.04,66.04,1,1,2017.0,0
SIMI Pacific Pte,2230.02,2230.02,1,1,2017.0,0
Tolaram Inc,12.87,12.87,1,1,2017.0,0
Jacqueline Fernandez,0.0,0.0,1,1,2017.0,0
Nibhrant Shah,1.5,1.5,1,1,2017.0,0
Anirudh Sheth,1.5,1.5,1,1,2017.0,0
Pratik Singhi,1.5,1.5,1,1,2017.0,0
Vikram Mehta,1.5,1.5,1,1,2017.0,0
Murali Nair,1.5,1.5,1,1,2017.0,0
Gaurav Kachru,5.32,5.32,1,1,2017.0,0
Jatin Aneja,2.66,5.32,2,2,2016.0,4
Arun Malhotra,5.32,5.32,1,1,2017.0,0
IndiaNivesh Venture Capital Fund,17.15,17.15,1,1,2017.0,0
SIDBI Venture Capital Ltd,15.436666666666667,46.31,3,3,2015.6666666666667,4
Ankit Nagori,0.0,0.0,3,3,2016.0,4
Ravi Garikipati,5.36,10.72,2,2,2016.5,4
Sashi Reddi,8.866666666666667,26.6,3,3,2016.0,4
RuNet South Asia,54.04,54.04,1,1,2017.0,0
Arun Tadanki,0.7000000000000001,2.1,3,3,2016.0,4
DAH Beteiligungs GmbH,94.35,94.35,1,1,2017.0,0
S. Xavier Britto,12.87,12.87,1,1,2017.0,0
Team Builder Ventures,0.0,0.0,1,1,2017.0,0
Poshika Financial Ecosystem,0.0,0.0,1,1,2017.0,0
SoftBank Group Corp,2830.41,2830.41,1,1,2017.0,0
Vishwadeep Bajaj,0.0,0.0,2,2,2016.5,4
Harsh Kundra,0.0,0.0,1,1,2017.0,0
Nandkumar Rane,0.0,0.0,1,1,2017.0,0
LN Buddharaju,0.0,0.0,1,1,2017.0,0
Anupam Tyagi,0.0,0.0,1,1,2017.0,0
Langoor,0.0,0.0,1,1,2017.0,0
Bhupen Shah,1.18,2.36,2,2,2016.5,4
Gautam Chhaochharia,0.0,0.0,1,1,2017.0,0
R Balachandar,0.0,0.0,1,1,2017.0,0
Atul Nishar,30.590000000000003,91.77,3,3,2016.0,4
Tushar Mittal,1.29,1.29,1,1,2017.0,0
Star India Pvt Ltd,85.77,85.77,1,1,2017.0,0
IDFC Parampara Early Stage Opportunities Fund,8.58,8.58,1,1,2017.0,0
National Science and Technology Entrepreneurship Development Board,0.26,0.26,1,1,2017.0,0
Draper Associates,31.31,31.31,1,1,2017.0,0
Private Sector Banks (Debt Funding),128.66,128.66,1,1,2017.0,0
Deepak Gurnani,4.29,4.29,1,1,2017.0,0
Asuka,0.0,0.0,3,3,2016.6666666666667,0
BEENEXT,32.69866666666667,980.96,30,24,2016.6666666666667,1
Cyber Carrier,11.436666666666667,34.31,3,3,2016.3333333333333,4
Chidambaram Palaniappan,28.73,28.73,1,1,2017.0,0
Bharat Sheth,28.73,28.73,1,1,2017.0,0
Nimitt Desai & Others,0.0,0.0,1,1,2017.0,0
and Gurpreet Singh,26.59,26.59,1,1,2017.0,0
Bhupender Singh,1.72,1.72,1,1,2017.0,0
Microsoft,6102.535,12205.07,2,2,2016.5,3
eBay,12007.8,12007.8,1,1,2017.0,3
LOccitane,48.46,96.92,2,1,2016.5,4
Shripad Nadkarni,8.575,17.15,2,2,2016.0,4
Nandu Nandkishore,0.0,0.0,1,1,2017.0,0
Ravi Saxena,9.395,18.79,2,2,2016.0,4
Rohit Sethi,0.0,0.0,1,1,2017.0,0
Gaurav Luniya,0.0,0.0,1,1,2017.0,0
Vikas Bajaj,0.0,0.0,1,1,2017.0,0
Amit Kharbanda,0.0,0.0,1,1,2017.0,0
Puneet Motihar,2.79,2.79,1,1,2017.0,0
Neoplux Technology Fund,85.77,85.77,1,1,2017.0,0
Prof. Ram Kumar Kakani & Others,0.43,0.43,1,1,2017.0,0
Meher Roy,0.0,0.0,1,1,2017.0,0
Nikhil Arora,0.0,0.0,1,1,2017.0,0
Meet Kanodia,0.0,0.0,1,1,2017.0,0
Krit Sankalp,0.0,0.0,1,1,2017.0,0
Stelcore Management Services,1.33,1.33,1,1,2017.0,0
Anjani Prasad,1.33,1.33,1,1,2017.0,0
Samridhi Fund,25.73,25.73,1,1,2017.0,0
Satveer Thakral,0.0,0.0,1,1,2017.0,0
Greycroft,131.51333333333332,394.54,3,1,2016.0,4
Satya D Sinha,0.0,0.0,1,1,2017.0,0
Venture Works,14.795,29.59,2,2,2016.5,4
Earlsfield Capital,3.76,11.28,3,3,2016.0,4
Japan Vyas,0.0,0.0,1,1,2017.0,0
Tarun Adlakha,0.0,0.0,1,1,2017.0,0
Facebook FB Start programme,0.34,0.34,1,1,2017.0,0
Ganesh Natarajan,0.0,0.0,2,2,2016.5,4
Al Dhaheri family,4.29,4.29,1,1,2017.0,0
ThinQbate,0.0,0.0,1,1,2017.0,0
Anil Jain & other HNIs,27.45,27.45,1,1,2017.0,0
Kleiner Perkins,128.66,128.66,1,1,2017.0,0
Pine Brook,128.66,128.66,1,1,2017.0,0
Mohit Joshi & Others,2.83,2.83,1,1,2017.0,0
Mahalingam K,2.57,2.57,1,1,2017.0,0
Punit Soni,0.0,0.0,3,2,2016.0,4
Utsav Somani,1.585,3.17,2,2,2016.5,4
Vishal Gondal,7.863333333333333,23.59,3,3,2016.0,4
Vikram Limaye,0.0,0.0,1,1,2017.0,0
Pavan Ongole,2.286666666666666,6.86,3,3,2016.0,4
White Unicorn Ventures,0.0,0.0,2,2,2016.5,4
Softbank Ventures Korea,64.33,128.66,2,1,2016.5,4
Nitin Saluja,0.0,0.0,1,1,2017.0,0
Pankaj Rungta,0.0,0.0,1,1,2017.0,0
Ishan Manaktala,0.0,0.0,1,1,2017.0,0
Chandigarh Angels,0.5366666666666667,3.22,6,6,2016.3333333333333,4
Sunil Singh & Others,3.22,3.22,1,1,2017.0,0
Paragon Trust,8.58,8.58,1,1,2017.0,0
Sanjiv Rangrass,600.39,600.39,1,1,2017.0,0
Rajiv Mehta,0.0,0.0,2,2,2016.5,4
DanGold Investment Corp,0.0,0.0,1,1,2017.0,0
Marico Innovation Foundation (MIF),0.0,0.0,1,1,2017.0,0
Villgro,0.0,0.0,2,2,2016.5,4
Jasper Infotech Pvt Ltd,488.89,488.89,1,1,2017.0,0
William Campbell,19.3,19.3,1,1,2017.0,0
Toos N Daruvala,19.3,19.3,1,1,2017.0,0
Evan Lim,1.29,2.58,2,1,2016.5,4
Kanchan Ghoshal,0.43,0.86,2,1,2016.5,4
Ronnie Screwvala,30.02,30.02,1,1,2017.0,0
Zishaan Hayath,4.137499999999999,33.099999999999994,8,8,2015.5,4
Karan Chellani,0.0,0.0,2,2,2016.5,4
Mohit Satyan,0.0,0.0,3,3,2016.0,4
Andre Hoffman,85.77,85.77,1,1,2017.0,0
Harsh V. Pant,0.0,0.0,1,1,2017.0,0
Ratheesh Raveendran,0.0,0.0,1,1,2017.0,0
Quarizon,0.5971428571428571,4.18,7,7,2016.142857142857,4
Menterra Social Impact Fund,5.315,10.63,2,2,2016.5,4
ru-Net,177.615,1065.69,6,6,2015.8333333333333,4
Ajith Nair,0.63,1.26,2,2,2016.5,4
Anish K,6.105,24.42,4,4,2015.75,4
Praveen Dubey,0.0,0.0,1,1,2017.0,0
J.P. Bhatt,0.0,0.0,1,1,2017.0,0
Umang Moondra,0.0,0.0,1,1,2017.0,0
YourNest Fund II,0.0,0.0,1,1,2017.0,0
India Educational Investment Fund,0.0,0.0,5,5,2016.0,4
GMO Japan,34.31,34.31,1,1,2017.0,0
Neelesh Bhatnagar,34.31,34.31,1,1,2017.0,0
Alexander Bruehl,0.0,0.0,1,1,2017.0,0
ABM Knowledgeware,18.87,18.87,1,1,2017.0,0
V Aanand R,2.57,2.57,1,1,2017.0,0
Puthen & Cole,0.0,0.0,1,1,2017.0,0
The Ten Minute Million,0.4575,1.83,4,4,2017.0,0
Soham Vencaps,10.29,10.29,1,1,2016.0,4
American Express Ventures,17.155,34.31,2,2,2016.0,4
Franchise India,11.436666666666667,34.31,3,3,2016.0,4
Ajith Sukumaran,0.0,0.0,1,1,2016.0,4
Currae Healthtech Fund,2.13,6.39,3,3,2016.0,4
Eros Labs,2.145,4.29,2,2,2016.0,4
Mohan Kumar,0.0,0.0,1,1,2016.0,4
Venk Krishnan,1.8,7.2,4,4,2015.75,4
Vikram Kotak,3.77,3.77,1,1,2016.0,4
Jayant Davar,3.77,3.77,1,1,2016.0,4
Ramkumar Nishtal,3.77,3.77,1,1,2016.0,4
Appliyifi,0.0,0.0,1,1,2016.0,4
Max Ventures and Industries,0.0,0.0,1,1,2016.0,4
Verlinvest SA,85.77,85.77,1,1,2016.0,4
Ashvin Chadha,21.786,108.93,5,5,2015.4,4
Chanakya Hridaya,0.0,0.0,1,1,2016.0,4
Ramasubramaniam B,0.0,0.0,1,1,2016.0,4
Nobel House,0.0,0.0,1,1,2016.0,4
Zodius Technology Opportunities Fund,56.175,112.35,2,2,2016.0,4
Anbu Pandian,0.645,1.29,2,2,2016.0,4
Prabhakar MR & Others,1.29,1.29,1,1,2016.0,4
Swastika Investmart Ltd,2.55,2.55,1,1,2016.0,4
Infosys Innovation Fund,85.77,85.77,1,1,2016.0,4
Emerald Media,364.525,729.05,2,2,2016.0,4
Premji Invest,300.2,300.2,1,1,2016.0,4
North Base Media,12.865,25.73,2,2,2016.0,4
Anuj Golecha,0.0,0.0,1,1,2016.0,4
Anirudh Damani,0.6433333333333334,3.86,6,6,2015.8333333333333,4
Taxmann,2.78,2.78,1,1,2016.0,4
Harminder Sahani,2.57,2.57,1,1,2016.0,4
KK Mehra,2.57,2.57,1,1,2016.0,4
Pranay Jivrajka,1.285,2.57,2,2,2016.0,4
Navjot Saini,2.57,2.57,1,1,2016.0,4
Lead Angels Group & Others,0.0,0.0,1,1,2016.0,4
Pradyumna Dalmia,3.0,6.0,2,2,2015.5,4
S. Somasegar & Others,0.0,0.0,1,1,2016.0,4
Ritesh Mehta,0.0,0.0,1,1,2016.0,4
Kedar Lele,1.72,1.72,1,1,2016.0,4
Yogesh Andlay,0.0,0.0,1,1,2016.0,4
Aavishkaar Venture Management,8.58,8.58,1,1,2016.0,4
Ameera Shah,1.4233333333333331,4.27,3,3,2016.0,4
A M Sikander,0.39,0.39,1,1,2016.0,4
Justin Kan,25.73,25.73,1,1,2016.0,4
Qasar Younis,25.73,25.73,1,1,2016.0,4
Paul Bucche,25.73,25.73,1,1,2016.0,4
iSON,8.58,8.58,1,1,2016.0,4
Gleevoaz Ventures,0.0,0.0,1,1,2016.0,4
Arun Seth,0.0,0.0,1,1,2016.0,4
RTP-HC,42.88,42.88,1,1,2016.0,4
Hitesh Windlass,0.0,0.0,1,1,2016.0,4
Khosla Impact,54.75,164.25,3,3,2015.6666666666667,4
YMS Mobitech,0.0,0.0,1,1,2016.0,4
Sanjai Vohra,0.0,0.0,1,1,2016.0,4
V. Bunty Bohra,0.0,0.0,1,1,2016.0,4
Dr. Pooja Gandhi,0.0,0.0,1,1,2016.0,4
Barkawi Holdings GmbH,0.0,0.0,2,1,2016.0,4
TM Service Technology Holdings Gmbh,0.0,0.0,2,1,2016.0,4
Sreevathsa Prabhakar,0.0,0.0,1,1,2016.0,4
VC Karthic,0.0,0.0,1,1,2016.0,4
Umasankar Nistala,0.0,0.0,1,1,2016.0,4
Rakesh Patel,0.0,0.0,1,1,2016.0,4
Akash Bhavsar,0.0,0.0,1,1,2016.0,4
Jeevanandhan Rajagopal,0.0,0.0,1,1,2016.0,4
Vikas Chadha & Others,0.0,0.0,1,1,2016.0,4
Reliance Entertainment,0.0,0.0,1,1,2016.0,4
Subramanya Venkat,0.0,0.0,2,2,2016.0,4
Lumina Datamatics,8.58,8.58,1,1,2016.0,4
Shun Yoshida & Others,8.58,8.58,1,1,2016.0,4
Yang Shu,8.26,8.26,1,1,2016.0,4
Nitesh Pant,1.29,1.29,1,1,2016.0,4
